strategy,type,ticker,entry_date,exit_date,year,shares,entry_price,exit_price,invested,return_pct,pl_dollars,running_cash
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-12,2022,30.9219,323.4,280.29,10000,-13.33,-1333.02,8666.98
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-13,2022,30.9219,323.4,288.35,10000,-10.84,-1083.67,7583.31
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-16,2022,30.9219,323.4,292.67,10000,-9.5,-950.1,6633.21
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-17,2022,30.9219,323.4,296.86,10000,-8.2,-820.45,5812.77
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-18,2022,30.9219,323.4,294.03,10000,-9.08,-908.19,4904.58
EMA_12_26,EMA,QQQ,2021-06-02,2022-05-19,2022,30.9219,323.4,282.08,10000,-12.78,-1277.54,3627.04
EMA_12_26,EMA,QQQ,2022-05-19,2024-12-02,2024,35.4509,282.08,511.22,10000,81.23,8123.18,11750.22
EMA_12_26,EMA,QQQ,2022-05-24,2024-12-02,2024,35.5936,280.95,511.22,10000,81.96,8196.14,19946.36
EMA_12_26,EMA,QQQ,2022-06-16,2024-12-02,2024,37.2132,268.72,511.22,10000,90.24,9024.11,28970.48
EMA_12_26,EMA,QQQ,2022-10-11,2024-12-02,2024,38.6004,259.06,511.22,10000,97.33,9733.32,38703.79
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-03,2022,30.846,324.19,263.34,10000,-18.77,-1876.99,8123.01
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-04,2022,30.846,324.19,273.05,10000,-15.78,-1577.51,6545.5
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-05,2022,30.846,324.19,272.36,10000,-15.99,-1598.94,4946.56
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-11,2022,30.846,324.19,259.06,10000,-20.09,-2008.91,2937.64
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-12,2022,30.846,324.19,257.79,10000,-20.48,-2048.16,889.48
MACD_12_26,MACD,QQQ,2021-05-25,2022-10-13,2022,30.846,324.19,249.73,10000,-22.97,-2296.92,-1407.44
MACD_12_26,MACD,QQQ,2022-10-13,2024-12-04,2024,40.0437,249.73,519.13,10000,107.88,10787.74,9380.31
MACD_12_26,MACD,QQQ,2022-11-09,2024-12-04,2024,38.1593,262.06,519.13,10000,98.1,9809.53,19189.83
MOM_5,MOM,QQQ,2021-05-25,2022-10-03,2022,30.846,324.19,263.34,10000,-18.77,-1876.99,8123.01
MOM_5,MOM,QQQ,2021-05-25,2022-10-04,2022,30.846,324.19,273.05,10000,-15.78,-1577.51,6545.5
MOM_5,MOM,QQQ,2021-05-25,2022-10-05,2022,30.846,324.19,272.36,10000,-15.99,-1598.94,4946.56
MOM_5,MOM,QQQ,2021-05-25,2022-10-11,2022,30.846,324.19,259.06,10000,-20.09,-2008.91,2937.64
MOM_5,MOM,QQQ,2021-05-25,2022-10-12,2022,30.846,324.19,257.79,10000,-20.48,-2048.16,889.48
MOM_5,MOM,QQQ,2021-05-25,2022-10-13,2022,30.846,324.19,249.73,10000,-22.97,-2296.92,-1407.44
MOM_5,MOM,QQQ,2022-10-13,2024-12-04,2024,40.0437,249.73,519.13,10000,107.88,10787.74,9380.31
MOM_5,MOM,QQQ,2022-11-09,2024-12-04,2024,38.1593,262.06,519.13,10000,98.1,9809.53,19189.83
MOM_10,MOM,QQQ,2021-05-25,2022-10-03,2022,30.846,324.19,263.34,10000,-18.77,-1876.99,8123.01
MOM_10,MOM,QQQ,2021-05-25,2022-10-04,2022,30.846,324.19,273.05,10000,-15.78,-1577.51,6545.5
MOM_10,MOM,QQQ,2021-05-25,2022-10-05,2022,30.846,324.19,272.36,10000,-15.99,-1598.94,4946.56
MOM_10,MOM,QQQ,2021-05-25,2022-10-11,2022,30.846,324.19,259.06,10000,-20.09,-2008.91,2937.64
MOM_10,MOM,QQQ,2021-05-25,2022-10-12,2022,30.846,324.19,257.79,10000,-20.48,-2048.16,889.48
MOM_10,MOM,QQQ,2021-05-25,2022-10-13,2022,30.846,324.19,249.73,10000,-22.97,-2296.92,-1407.44
MOM_10,MOM,QQQ,2022-10-13,2024-12-04,2024,40.0437,249.73,519.13,10000,107.88,10787.74,9380.31
MOM_10,MOM,QQQ,2022-11-09,2024-12-04,2024,38.1593,262.06,519.13,10000,98.1,9809.53,19189.83
SMA_20_50,SMA,AAPL,2021-06-29,2022-12-29,2022,76.0354,131.52,125.97,10000,-4.22,-421.82,9578.18
SMA_20_50,SMA,AAPL,2021-06-29,2022-12-30,2022,76.0354,131.52,126.38,10000,-3.9,-390.39,9187.79
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-03,2023,76.0354,131.52,128.22,10000,-2.5,-250.45,8937.34
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-04,2023,76.0354,131.52,124.89,10000,-5.04,-504.14,8433.21
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-05,2023,76.0354,131.52,125.12,10000,-4.86,-486.18,7947.03
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-06,2023,76.0354,131.52,124.02,10000,-5.7,-569.99,7377.03
SMA_20_50,SMA,AAPL,2021-06-29,2023-01-09,2023,76.0354,131.52,128.41,10000,-2.36,-236.23,7140.8
SMA_20_50,SMA,AAPL,2023-01-09,2025-10-20,2025,77.8751,128.41,261.74,10000,103.83,10383.11,17523.92
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-06,2022,58.0248,172.34,144.27,10000,-16.29,-1628.79,8371.21
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-07,2022,58.0248,172.34,141.64,10000,-17.81,-1781.38,6589.82
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-08,2022,58.0248,172.34,145.79,10000,-15.41,-1540.55,5049.28
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-09,2022,58.0248,172.34,144.32,10000,-16.26,-1625.95,3423.33
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-10,2022,58.0248,172.34,137.65,10000,-20.13,-2013.11,1410.22
SMA_50_200,SMA,AAPL,2022-01-12,2022-06-13,2022,58.0248,172.34,130.38,10000,-24.35,-2435.0,-1024.78
SMA_50_200,SMA,AAPL,2022-06-13,2024-12-13,2024,76.7017,130.38,246.78,10000,89.29,8928.59,7903.81
SMA_50_200,SMA,AAPL,2022-06-16,2024-12-13,2024,77.1604,129.6,246.78,10000,90.42,9041.8,16945.61
SMA_50_200,SMA,AAPL,2023-01-03,2024-12-13,2024,77.9886,128.22,246.78,10000,92.46,9246.19,26191.8
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-11,2022,41.998,238.11,221.18,10000,-7.11,-711.08,9288.92
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-12,2022,41.998,238.11,219.02,10000,-8.02,-801.68,8487.24
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-13,2022,41.998,238.11,213.63,10000,-10.28,-1028.17,7459.07
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-14,2022,41.998,238.11,228.87,10000,-3.88,-387.88,7071.2
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-17,2022,41.998,238.11,229.14,10000,-3.76,-376.45,6694.75
MACD_5_20,MACD,MSFT,2021-05-21,2022-10-28,2022,41.998,238.11,219.83,10000,-7.67,-767.4,5927.35
MACD_5_20,MACD,MSFT,2022-10-28,2024-03-21,2024,45.4888,219.83,422.88,10000,92.36,9236.26,15163.62
MACD_5_20,MACD,MSFT,2022-11-01,2024-03-21,2024,43.8678,227.96,422.88,10000,85.51,8550.78,23714.4
MACD_5_20,MACD,MSFT,2022-11-03,2024-03-21,2024,46.7599,213.86,422.88,10000,97.74,9773.79,33488.18
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-12,2022,41.998,238.11,219.02,10000,-8.02,-801.68,9198.32
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-13,2022,41.998,238.11,213.63,10000,-10.28,-1028.17,8170.16
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-14,2022,41.998,238.11,228.87,10000,-3.88,-387.88,7782.28
MACD_8_21,MACD,MSFT,2021-05-21,2022-10-17,2022,41.998,238.11,229.14,10000,-3.76,-376.45,7405.83
MACD_8_21,MACD,MSFT,2021-05-21,2022-11-01,2022,41.998,238.11,227.96,10000,-4.26,-426.24,6979.6
MACD_8_21,MACD,MSFT,2021-05-21,2022-11-02,2022,41.998,238.11,222.96,10000,-6.36,-635.99,6343.6
MACD_8_21,MACD,MSFT,2022-11-02,2024-06-12,2024,44.8504,222.96,435.18,10000,95.18,9517.84,15861.44
MACD_12_26,MACD,GOOGL,2021-05-25,2022-05-25,2022,85.0139,117.63,104.12,10000,-11.48,-1147.93,8852.07
MACD_12_26,MACD,GOOGL,2021-05-25,2022-05-26,2022,85.0139,117.63,104.81,10000,-10.9,-1089.63,7762.44
MACD_12_26,MACD,GOOGL,2021-05-25,2022-05-27,2022,85.0139,117.63,108.59,10000,-7.69,-768.72,6993.72
MACD_12_26,MACD,GOOGL,2021-05-25,2022-06-15,2022,85.0139,117.63,107.66,10000,-8.48,-847.81,6145.91
MACD_12_26,MACD,GOOGL,2021-05-25,2022-06-16,2022,85.0139,117.63,106.34,10000,-9.59,-959.44,5186.47
MACD_12_26,MACD,GOOGL,2021-05-25,2022-06-17,2022,85.0139,117.63,105.16,10000,-10.6,-1059.57,4126.9
MACD_12_26,MACD,GOOGL,2021-05-25,2022-06-21,2022,85.0139,117.63,108.04,10000,-8.15,-815.39,3311.51
MACD_12_26,MACD,GOOGL,2022-06-21,2024-04-26,2024,92.5612,108.04,170.54,10000,57.85,5785.44,9096.95
MACD_12_26,MACD,GOOGL,2022-07-18,2024-04-26,2024,89.5122,111.72,170.54,10000,52.65,5265.45,14362.4
MACD_12_26,MACD,GOOGL,2022-07-26,2024-04-26,2024,94.584,105.73,170.54,10000,61.3,6130.4,20492.79
MACD_12_26,MACD,GOOGL,2022-09-15,2024-04-26,2024,96.9206,103.18,170.54,10000,65.29,6528.89,27021.68
MACD_12_26,MACD,GOOGL,2022-09-21,2024-04-26,2024,99.1704,100.84,170.54,10000,69.13,6912.56,33934.24
MACD_12_26,MACD,GOOGL,2022-09-26,2024-04-26,2024,102.7793,97.3,170.54,10000,75.28,7528.03,41462.27
MACD_12_26,MACD,GOOGL,2022-09-29,2024-04-26,2024,102.2166,97.83,170.54,10000,74.32,7432.08,48894.35
MACD_12_26,MACD,GOOGL,2022-10-31,2024-04-26,2024,105.666,94.64,170.54,10000,80.2,8020.33,56914.68
MACD_12_26,MACD,GOOGL,2022-11-02,2024-04-26,2024,110.8714,90.19,170.54,10000,89.08,8908.07,65822.76
MOM_5,MOM,GOOGL,2021-05-25,2022-05-25,2022,85.0139,117.63,104.12,10000,-11.48,-1147.93,8852.07
MOM_5,MOM,GOOGL,2021-05-25,2022-05-26,2022,85.0139,117.63,104.81,10000,-10.9,-1089.63,7762.44
MOM_5,MOM,GOOGL,2021-05-25,2022-05-27,2022,85.0139,117.63,108.59,10000,-7.69,-768.72,6993.72
MOM_5,MOM,GOOGL,2021-05-25,2022-06-15,2022,85.0139,117.63,107.66,10000,-8.48,-847.81,6145.91
MOM_5,MOM,GOOGL,2021-05-25,2022-06-16,2022,85.0139,117.63,106.34,10000,-9.59,-959.44,5186.47
MOM_5,MOM,GOOGL,2021-05-25,2022-06-17,2022,85.0139,117.63,105.16,10000,-10.6,-1059.57,4126.9
MOM_5,MOM,GOOGL,2021-05-25,2022-06-21,2022,85.0139,117.63,108.04,10000,-8.15,-815.39,3311.51
MOM_5,MOM,GOOGL,2022-06-21,2024-04-26,2024,92.5612,108.04,170.54,10000,57.85,5785.44,9096.95
MOM_5,MOM,GOOGL,2022-07-18,2024-04-26,2024,89.5122,111.72,170.54,10000,52.65,5265.45,14362.4
MOM_5,MOM,GOOGL,2022-07-26,2024-04-26,2024,94.584,105.73,170.54,10000,61.3,6130.4,20492.79
MOM_5,MOM,GOOGL,2022-09-15,2024-04-26,2024,96.9206,103.18,170.54,10000,65.29,6528.89,27021.68
MOM_5,MOM,GOOGL,2022-09-21,2024-04-26,2024,99.1704,100.84,170.54,10000,69.13,6912.56,33934.24
MOM_5,MOM,GOOGL,2022-09-26,2024-04-26,2024,102.7793,97.3,170.54,10000,75.28,7528.03,41462.27
MOM_5,MOM,GOOGL,2022-09-29,2024-04-26,2024,102.2166,97.83,170.54,10000,74.32,7432.08,48894.35
MOM_5,MOM,GOOGL,2022-10-31,2024-04-26,2024,105.666,94.64,170.54,10000,80.2,8020.33,56914.68
MOM_5,MOM,GOOGL,2022-11-02,2024-04-26,2024,110.8714,90.19,170.54,10000,89.08,8908.07,65822.76
MOM_10,MOM,GOOGL,2021-05-25,2022-05-25,2022,85.0139,117.63,104.12,10000,-11.48,-1147.93,8852.07
MOM_10,MOM,GOOGL,2021-05-25,2022-05-26,2022,85.0139,117.63,104.81,10000,-10.9,-1089.63,7762.44
MOM_10,MOM,GOOGL,2021-05-25,2022-05-27,2022,85.0139,117.63,108.59,10000,-7.69,-768.72,6993.72
MOM_10,MOM,GOOGL,2021-05-25,2022-06-15,2022,85.0139,117.63,107.66,10000,-8.48,-847.81,6145.91
MOM_10,MOM,GOOGL,2021-05-25,2022-06-16,2022,85.0139,117.63,106.34,10000,-9.59,-959.44,5186.47
MOM_10,MOM,GOOGL,2021-05-25,2022-06-17,2022,85.0139,117.63,105.16,10000,-10.6,-1059.57,4126.9
MOM_10,MOM,GOOGL,2021-05-25,2022-06-21,2022,85.0139,117.63,108.04,10000,-8.15,-815.39,3311.51
MOM_10,MOM,GOOGL,2022-06-21,2024-04-26,2024,92.5612,108.04,170.54,10000,57.85,5785.44,9096.95
MOM_10,MOM,GOOGL,2022-07-18,2024-04-26,2024,89.5122,111.72,170.54,10000,52.65,5265.45,14362.4
MOM_10,MOM,GOOGL,2022-07-26,2024-04-26,2024,94.584,105.73,170.54,10000,61.3,6130.4,20492.79
MOM_10,MOM,GOOGL,2022-09-15,2024-04-26,2024,96.9206,103.18,170.54,10000,65.29,6528.89,27021.68
MOM_10,MOM,GOOGL,2022-09-21,2024-04-26,2024,99.1704,100.84,170.54,10000,69.13,6912.56,33934.24
MOM_10,MOM,GOOGL,2022-09-26,2024-04-26,2024,102.7793,97.3,170.54,10000,75.28,7528.03,41462.27
MOM_10,MOM,GOOGL,2022-09-29,2024-04-26,2024,102.2166,97.83,170.54,10000,74.32,7432.08,48894.35
MOM_10,MOM,GOOGL,2022-10-31,2024-04-26,2024,105.666,94.64,170.54,10000,80.2,8020.33,56914.68
MOM_10,MOM,GOOGL,2022-11-02,2024-04-26,2024,110.8714,90.19,170.54,10000,89.08,8908.07,65822.76
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-16,2022,652.4914,15.33,12.73,10000,-16.97,-1696.84,8303.16
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-19,2022,652.4914,15.33,12.99,10000,-15.21,-1520.9,6782.26
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-20,2022,652.4914,15.33,13.2,10000,-13.89,-1388.62,5393.64
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-21,2022,652.4914,15.33,13.2,10000,-13.9,-1389.92,4003.72
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-22,2022,652.4914,15.33,13.05,10000,-14.83,-1483.11,2520.61
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-23,2022,652.4914,15.33,12.4,10000,-19.07,-1906.67,613.94
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-26,2022,652.4914,15.33,12.47,10000,-18.6,-1860.4,-1246.46
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-27,2022,652.4914,15.33,12.49,10000,-18.5,-1849.98,-3096.44
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-28,2022,652.4914,15.33,12.39,10000,-19.13,-1913.19,-5009.63
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-29,2022,652.4914,15.33,12.43,10000,-18.88,-1888.42,-6898.05
SMA_5_20,SMA,NVDA,2021-04-28,2022-09-30,2022,652.4914,15.33,12.07,10000,-21.24,-2123.67,-9021.72
SMA_5_20,SMA,NVDA,2022-09-30,2023-02-14,2023,828.4202,12.07,22.95,10000,90.1,9009.58,-12.14
SMA_5_20,SMA,NVDA,2022-10-07,2023-02-14,2023,800.7288,12.49,22.95,10000,83.74,8374.15,8362.01
SMA_5_20,SMA,NVDA,2022-10-11,2023-02-14,2023,866.1115,11.55,22.95,10000,98.74,9874.47,18236.49
SMA_5_20,SMA,NVDA,2022-10-14,2023-02-14,2023,830.4814,12.04,22.95,10000,90.57,9056.88,27293.37
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-09,2022,356.9997,28.01,18.0,10000,-35.74,-3573.57,6426.43
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-10,2022,356.9997,28.01,17.66,10000,-36.97,-3696.51,2729.92
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-11,2022,356.9997,28.01,17.32,10000,-38.18,-3818.38,-1088.46
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-12,2022,356.9997,28.01,16.19,10000,-42.2,-4220.34,-5308.8
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-13,2022,356.9997,28.01,16.76,10000,-40.18,-4017.58,-9326.38
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-16,2022,356.9997,28.01,17.48,10000,-37.61,-3760.65,-13087.03
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-17,2022,356.9997,28.01,18.04,10000,-35.59,-3559.31,-16646.34
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-18,2022,356.9997,28.01,17.67,10000,-36.91,-3690.81,-20337.15
SMA_50_200,SMA,NVDA,2022-01-12,2022-05-19,2022,356.9997,28.01,16.91,10000,-39.64,-3964.48,-24301.64
SMA_50_200,SMA,NVDA,2022-05-19,2023-02-14,2023,591.4983,16.91,22.95,10000,35.73,3572.99,-20728.65
SMA_50_200,SMA,NVDA,2022-05-23,2023-02-14,2023,615.596,16.24,22.95,10000,41.26,4125.95,-16602.7
SMA_50_200,SMA,NVDA,2022-06-13,2023-02-14,2023,626.0055,15.97,22.95,10000,43.65,4364.81,-12237.89
SMA_50_200,SMA,NVDA,2022-06-29,2023-02-14,2023,633.3684,15.79,22.95,10000,45.34,4533.77,-7704.12
SMA_50_200,SMA,NVDA,2022-07-01,2023-02-14,2023,672.2658,14.88,22.95,10000,54.26,5426.34,-2277.78
SMA_50_200,SMA,NVDA,2022-09-02,2023-02-14,2023,710.3609,14.08,22.95,10000,63.0,6300.5,4022.72
SMA_50_200,SMA,NVDA,2022-09-13,2023-02-14,2023,725.4828,13.78,22.95,10000,66.47,6647.5,10670.22
SMA_50_200,SMA,NVDA,2022-09-15,2023-02-14,2023,769.3517,13.0,22.95,10000,76.54,7654.15,18324.37
SMA_50_200,SMA,NVDA,2022-09-23,2023-02-14,2023,806.2088,12.4,22.95,10000,85.0,8499.9,26824.27
SMA_50_200,SMA,NVDA,2022-09-29,2023-02-14,2023,804.3952,12.43,22.95,10000,84.58,8458.28,35282.55
SMA_50_200,SMA,NVDA,2022-10-07,2023-02-14,2023,800.7288,12.49,22.95,10000,83.74,8374.15,43656.7
SMA_50_200,SMA,NVDA,2022-10-11,2023-02-14,2023,866.1115,11.55,22.95,10000,98.74,9874.47,53531.18
SMA_50_200,SMA,NVDA,2022-10-14,2023-02-14,2023,830.4814,12.04,22.95,10000,90.57,9056.88,62588.06
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-14,2022,691.6198,14.46,13.24,10000,-8.45,-845.28,9154.72
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-15,2022,691.6198,14.46,13.0,10000,-10.1,-1010.36,8144.37
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-16,2022,691.6198,14.46,12.73,10000,-11.99,-1198.92,6945.45
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-19,2022,691.6198,14.46,12.99,10000,-10.12,-1012.43,5933.02
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-20,2022,691.6198,14.46,13.2,10000,-8.72,-872.21,5060.81
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-21,2022,691.6198,14.46,13.2,10000,-8.74,-873.59,4187.21
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-22,2022,691.6198,14.46,13.05,10000,-9.72,-972.37,3214.84
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-23,2022,691.6198,14.46,12.4,10000,-14.21,-1421.33,1793.51
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-26,2022,691.6198,14.46,12.47,10000,-13.72,-1372.29,421.22
EMA_12_26,EMA,NVDA,2021-05-06,2022-09-27,2022,691.6198,14.46,12.49,10000,-13.61,-1361.24,-940.02
EMA_12_26,EMA,NVDA,2022-09-27,2023-02-14,2023,800.6008,12.49,22.95,10000,83.71,8371.21,7431.2
EMA_12_26,EMA,NVDA,2022-09-29,2023-02-14,2023,804.3952,12.43,22.95,10000,84.58,8458.28,15889.48
EMA_12_26,EMA,NVDA,2022-10-07,2023-02-14,2023,800.7288,12.49,22.95,10000,83.74,8374.15,24263.63
EMA_12_26,EMA,NVDA,2022-10-11,2023-02-14,2023,866.1115,11.55,22.95,10000,98.74,9874.47,34138.11
EMA_12_26,EMA,NVDA,2022-10-14,2023-02-14,2023,830.4814,12.04,22.95,10000,90.57,9056.88,43194.99
